3.11E+01 2.97E+01 2.97E+01 3.42E+01
3.51E+01 3.32E+01 3.32E+01 3.86E+01
4.13E+01 2.70E+01 2.70E+01 6.47E+01
4.67E+01 4.75E+01 4.75E+01 3.76E+01
5.00E+01 5.50E+01 5.50E+01 4.34E+01
5.00E+01 6.22E+01 6.22E+01 3.86E+01
5.35E+01 4.42E+01 4.42E+01 6.22E+01
5.50E+01 4.13E+01 4.13E+01 7.12E+01
5.65E+01 4.67E+01 4.67E+01 6.05E+01
5.65E+01 7.65E+01 7.65E+01 4.67E+01
6.32E+01 6.05E+01 6.05E+01 6.66E+01
6.47E+01 6.66E+01 6.66E+01 6.22E+01
6.84E+01 6.05E+01 6.05E+01 7.12E+01
7.32E+01 6.47E+01 6.47E+01 7.83E+01
7.53E+01 6.66E+01 6.66E+01 8.05E+01
7.53E+01 6.32E+01 6.32E+01 8.46E+01
8.61E+01 6.99E+01 6.99E+01 1.04E+02
8.61E+01 6.84E+01 6.84E+01 1.13E+02
9.31E+01 1.04E+02 1.04E+02 8.46E+01
9.48E+01 8.61E+01 8.61E+01 9.75E+01
1.00E+02 9.11E+01 9.11E+01 1.02E+02
1.02E+02 1.26E+02 1.26E+02 8.05E+01
1.04E+02 9.48E+01 9.48E+01 1.15E+02
1.07E+02 8.28E+01 8.28E+01 1.30E+02
1.07E+02 1.15E+02 1.15E+02 9.48E+01
1.10E+02 1.07E+02 1.07E+02 1.13E+02
1.12E+02 8.61E+01 8.61E+01 1.49E+02
1.18E+02 1.00E+02 1.00E+02 1.21E+02
1.33E+02 1.23E+02 1.23E+02 1.43E+02
1.33E+02 1.21E+02 1.21E+02 1.39E+02
1.36E+02 1.36E+02 1.36E+02 1.33E+02
1.39E+02 1.43E+02 1.43E+02 1.33E+02
1.43E+02 1.43E+02 1.43E+02 1.50E+02
1.53E+02 1.73E+02 1.73E+02 1.39E+02
1.57E+02 1.53E+02 1.53E+02 1.50E+02
1.61E+02 1.77E+02 1.77E+02 1.39E+02
1.73E+02 1.30E+02 1.30E+02 2.53E+02
1.85E+02 1.39E+02 1.39E+02 3.06E+02
1.85E+02 2.20E+02 2.20E+02 1.47E+02
1.90E+02 2.20E+02 2.20E+02 1.65E+02
1.90E+02 1.80E+02 1.80E+02 2.00E+02
1.95E+02 1.90E+02 1.90E+02 2.00E+02
1.95E+02 2.09E+02 2.09E+02 1.73E+02
2.00E+02 2.15E+02 2.15E+02 2.15E+02
2.09E+02 2.09E+02 2.09E+02 2.46E+02
2.09E+02 2.15E+02 2.15E+02 2.36E+02
2.15E+02 2.41E+02 2.41E+02 1.73E+02
2.15E+02 1.90E+02 1.90E+02 2.66E+02
2.15E+02 2.20E+02 2.20E+02 1.95E+02
2.23E+02 1.90E+02 1.90E+02 2.70E+02
2.30E+02 2.09E+02 2.09E+02 3.14E+02
2.30E+02 2.36E+02 2.36E+02 2.53E+02
2.30E+02 2.30E+02 2.30E+02 2.41E+02
2.40E+02 2.03E+02 2.03E+02 3.14E+02
2.53E+02 2.30E+02 2.30E+02 3.37E+02
2.60E+02 1.95E+02 1.95E+02 4.48E+02
2.70E+02 2.53E+02 2.53E+02 2.36E+02
3.20E+02 2.97E+02 2.97E+02 4.28E+02
3.27E+02 3.06E+02 3.06E+02 4.35E+02
3.60E+02 3.46E+02 3.46E+02 4.07E+02
3.60E+02 3.80E+02 3.80E+02 3.96E+02
3.70E+02 3.80E+02 3.80E+02 3.89E+02
4.07E+02 4.18E+02 4.18E+02 5.27E+02
4.18E+02 4.93E+02 4.93E+02 3.80E+02
4.25E+02 4.48E+02 4.48E+02 3.89E+02
4.60E+02 4.93E+02 4.93E+02 3.96E+02
4.79E+02 4.48E+02 4.48E+02 4.35E+02
4.79E+02 5.27E+02 5.27E+02 4.48E+02
4.93E+02 5.15E+02 5.15E+02 5.27E+02
4.93E+02 4.71E+02 4.71E+02 6.74E+02
4.93E+02 5.57E+02 5.57E+02 3.89E+02
4.93E+02 4.79E+02 4.79E+02 5.57E+02
5.06E+02 5.18E+02 5.18E+02 4.93E+02
5.06E+02 4.79E+02 4.79E+02 5.57E+02
5.15E+02 4.93E+02 4.93E+02 5.69E+02
5.27E+02 5.27E+02 5.27E+02 4.93E+02
5.27E+02 5.57E+02 5.57E+02 3.96E+02
5.27E+02 5.42E+02 5.42E+02 5.57E+02
5.42E+02 6.38E+02 6.38E+02 4.18E+02
5.57E+02 6.13E+02 6.13E+02 4.68E+02
5.57E+02 5.80E+02 5.80E+02 4.93E+02
5.69E+02 5.57E+02 5.57E+02 6.38E+02
5.69E+02 6.38E+02 6.38E+02 3.96E+02
5.80E+02 5.81E+02 5.81E+02 9.60E+02
5.80E+02 6.13E+02 6.13E+02 5.42E+02
5.96E+02 6.38E+02 6.38E+02 3.96E+02
5.96E+02 5.80E+02 5.80E+02 6.56E+02
6.13E+02 6.13E+02 6.13E+02 6.85E+02
6.23E+02 5.96E+02 5.96E+02 1.01E+03
6.23E+02 6.38E+02 6.38E+02 4.48E+02
6.56E+02 6.13E+02 6.13E+02 7.93E+02
6.56E+02 6.56E+02 6.56E+02 6.74E+02
6.56E+02 6.74E+02 6.74E+02 7.21E+02
6.74E+02 6.38E+02 6.38E+02 8.49E+02
6.74E+02 6.74E+02 6.74E+02 8.15E+02
6.74E+02 7.21E+02 7.21E+02 6.26E+02
6.85E+02 5.96E+02 5.96E+02 1.01E+03
6.85E+02 8.15E+02 8.15E+02 4.71E+02
6.85E+02 7.21E+02 7.21E+02 5.96E+02
6.85E+02 7.41E+02 7.41E+02 6.89E+02
7.01E+02 7.54E+02 7.54E+02 6.56E+02
7.01E+02 6.56E+02 6.56E+02 9.12E+02
7.01E+02 7.71E+02 7.71E+02 6.56E+02
7.01E+02 6.26E+02 6.26E+02 9.87E+02
7.21E+02 7.01E+02 7.01E+02 7.41E+02
7.41E+02 6.56E+02 6.56E+02 1.16E+03
7.54E+02 7.41E+02 7.41E+02 6.26E+02
7.58E+02 7.71E+02 7.71E+02 9.33E+02
7.58E+02 7.41E+02 7.41E+02 6.89E+02
8.15E+02 7.71E+02 7.71E+02 9.33E+02
8.29E+02 8.49E+02 8.49E+02 6.85E+02
8.49E+02 8.15E+02 8.15E+02 1.28E+03
8.73E+02 8.73E+02 8.73E+02 9.33E+02
8.97E+02 8.73E+02 8.73E+02 1.21E+03
9.33E+02 9.33E+02 9.33E+02 1.34E+03
